Stop,On,Off,Long,Lat
Wallis Hall W/Light Rail,98.924324,88.881081,-80.733375549,35.311965942
Student Union E,160.459459,89.064865,-80.732727051,35.308044434
Student Health N,163.059459,167.875676,-80.729316711,35.310733795
South Village Deck,169.356757,127.356757,-80.7363483,35.3005906
