Stop,On,Off,Long,Lat
CRI Deck,213.484241,202.773639,-80.744125366,35.309482574
Lot 5A,177.068768,148.759312,-80.725280762,35.307224274
Lot 6,170.269341,198.123209,-80.725074768,35.308784485
Martin Hall,185.478510,176.882521,-80.726676941,35.310317993
Portal W,114.888252,222.080229,-80.743080139,35.311058044
Student Union W,454.378223,326.931232,-80.734855652,35.307929993
